Date,Portfolio name,Campaign Type,Campaign Name,Country,Status,Currency,Budget,Targeting Type,Bidding strategy,Impressions,Last Year Impressions,Clicks,Last Year Clicks,Click-Thru Rate (CTR),Spend,Last Year Spend,Cost Per Click (CPC),Last Year Cost Per Click (CPC),7 Day Total Orders (#),Total Advertising Cost of Sales (ACOS),Total Return on Advertising Spend (ROAS),7 Day Total Sales
"Jan 06, 2025",【GMO】,Sponsored Products,【GMO】レクステラ（指名KW）,Japan,ENABLED,JPY,"¥2,500.00",Manual targeting,Dynamic bids - down only,405,510,1,2,0.25%,¥135.00,¥432.10,¥135.00,¥216.05,0,0.00%,0,¥0.00
"Jan 06, 2025",【GMO】,Sponsored Products,【GMO】芦屋美整体（指名KW）ver2,Japan,ENABLED,JPY,"¥7,000.00",Manual targeting,Dynamic bids - down only,3426,3782,23,28,0.67%,"¥1,228.15","¥1,512.37",¥53.40,¥54.01,1,20.53%,4.87,"¥5,982.00"
"Jan 06, 2025",【GMO】,Sponsored Products,【GMO】ビーバンジョア (競合ASIN),Japan,ENABLED,JPY,"¥3,300.00",Manual targeting,Dynamic bids - down only,962,,1,,0.10%,¥1.30,,¥1.30,¥0.00,0,0.00%,0,¥0.00
"Jan 06, 2025",【GMO】,Sponsored Products,【GMO】ミューフル（AT）,Japan,ENABLED,JPY,"¥3,500.00",Automatic targeting,Dynamic bids - down only,2736,1978,5,2,0.18%,¥326.10,¥105.90,¥65.22,¥52.95,0,0.00%,0,¥0.00
"Jan 06, 2025",【GMO】,Sponsored Products,【GMO】ビーバンジョア（指名KW）,Japan,ENABLED,JPY,"¥2,500.00",Manual targeting,Dynamic bids - down only,146,758,0,2,0.00%,¥0.00,¥203.92,¥0.00,¥101.96,0,0.00%,0,¥0.00
"Jan 06, 2025",【GMO】,Sponsored Products,【GMO】水素バス (競合ASIN),Japan,ENABLED,JPY,"¥4,500.00",Manual targeting,Dynamic bids - down only,2443,,8,,0.33%,¥453.87,,¥56.73,¥0.00,1,29.36%,3.41,"¥1,546.00"
"Jan 06, 2025",【GMO】,Sponsored Products,【GMO】レクステラ（AT）,Japan,ENABLED,JPY,"¥3,000.00",Automatic targeting,Dynamic bids - down only,3459,2009,3,9,0.09%,¥411.00,¥873.95,¥137.00,¥97.11,0,0.00%,0,¥0.00
"Jan 06, 2025",【GMO】,Sponsored Products,【GMO】HINアクネスラボ（AT）,Japan,ENABLED,JPY,"¥1,000.00",Automatic targeting,Dynamic bids - down only,2051,2105,1,0,0.05%,¥100.00,¥0.00,¥100.00,¥0.00,0,0.00%,0,¥0.00
"Jan 06, 2025",【GMO】,Sponsored Products,【GMO】マヘンディ（指名KW）,Japan,ENABLED,JPY,"¥2,000.00",Manual targeting,Dynamic bids - down only,1501,90,8,0,0.53%,¥622.30,¥0.00,¥77.79,¥0.00,0,0.00%,0,¥0.00
"Jan 06, 2025",【GMO】,Sponsored Products,【GMO】自然葉シャンプー指名KW,Japan,ENABLED,JPY,"¥3,000.00",Manual targeting,Dynamic bids - down only,1216,,6,,0.49%,¥729.88,,¥121.65,¥0.00,1,12.39%,8.07,"¥5,891.00"
"Jan 06, 2025",【GMO】,Sponsored Products,【GMO】レクステラ(競合ASIN),Japan,ENABLED,JPY,"¥1,500.00",Manual targeting,Dynamic bids - down only,322,,0,,0.00%,¥0.00,,¥0.00,¥0.00,0,0.00%,0,¥0.00
"Jan 06, 2025",【GMO】,Sponsored Products,【GMO】水素バス（AT）,Japan,ENABLED,JPY,"¥4,000.00",Automatic targeting,Dynamic bids - down only,1313,16885,0,36,0.00%,¥0.00,"¥3,155.42",¥0.00,¥87.65,0,0.00%,0,¥0.00
"Jan 06, 2025",【GMO】,Sponsored Products,【GMO】グリーンノートヘナ (競合ASIN),Japan,ENABLED,JPY,"¥10,000.00",Manual targeting,Dynamic bids - down only,4163,,13,,0.31%,¥623.20,,¥47.94,¥0.00,1,19.51%,5.13,"¥3,195.00"
"Jan 06, 2025",【GMO】,Sponsored Products,【GMO】ORIGAMI (指名KW),Japan,ENABLED,JPY,"¥1,400.00",Manual targeting,Dynamic bids - down only,1200,182,13,0,1.08%,¥188.27,¥0.00,¥14.48,¥0.00,0,0.00%,0,¥0.00
"Jan 06, 2025",【GMO】,Sponsored Products,【GMO】ソネット(競合ASIN),Japan,ENABLED,JPY,"¥2,000.00",Manual targeting,Dynamic bids - down only,2212,,1,,0.05%,¥31.68,,¥31.68,¥0.00,0,0.00%,0,¥0.00
"Jan 06, 2025",【GMO】,Sponsored Products,【GMO】グリーンノートヘナ（指名KW）,Japan,ENABLED,JPY,"¥6,000.00",Manual targeting,Dynamic bids - down only,6097,6057,34,46,0.56%,"¥2,226.18","¥2,872.94",¥65.48,¥62.46,5,9.91%,10.09,"¥22,458.00"
"Jan 06, 2025",【GMO】,Sponsored Products,【GMO】ソーダスパークル(競合ASIN),Japan,ENABLED,JPY,"¥6,000.00",Manual targeting,Dynamic bids - down only,1897,,11,,0.58%,¥760.00,,¥69.09,¥0.00,0,0.00%,0,¥0.00
"Jan 06, 2025",【GMO】,Sponsored Products,【GMO】自然派シャンプー(競合ASIN),Japan,ENABLED,JPY,"¥2,000.00",Manual targeting,Dynamic bids - down only,506,,7,,1.38%,¥605.00,,¥86.43,¥0.00,1,20.54%,4.87,"¥2,945.00"
"Jan 06, 2025",【GMO】,Sponsored Products,【GMO】全商品AT,Japan,ENABLED,JPY,"¥5,000.00",Automatic targeting,Dynamic bids - down only,16320,,88,,0.54%,¥785.85,,¥8.93,¥0.00,2,6.80%,14.71,"¥11,558.00"
"Jan 06, 2025",【GMO】,Sponsored Products,【GMO】芦屋美整体（AT）ver2,Japan,ENABLED,JPY,"¥3,000.00",Automatic targeting,Dynamic bids - down only,984,4651,4,16,0.41%,¥167.35,¥469.43,¥41.84,¥29.34,0,0.00%,0,¥0.00
